_1,_2,_3
24,22,1
18481,14,1
146,84,3
178,178,4
70,96,1
172,199,1
212,212,3
92,92,4
97,97,10
159,71,1
434,59,1
62,434,3
434,434,5
84,158,1
471,151,1
381,890,1
890,890,1
426,21,1
113,21,1
3466,21,1
403,403,1
381,684,1
684,684,7
84,108,1
289,289,2
418,289,1
322,1125,1
322,322,3
1155,917,1
1196,1192,1
322,941,1
471,434,1
684,159,1
159,159,2
984,754,2
754,754,3
964,964,18
322,1240,1
1273,1399,2
1399,1399,3
1156,192,1
21,192,1
869,906,1
95,95,3
381,95,1
366,366,2
62,366,1
924,2653,1
2666,2614,1
471,2614,1
2614,2614,2
1156,2452,4
2861,2861,7
2972,2972,1
1097,1384,1
2979,2979,2
2853,2853,1
21,3030,1
836,3097,1
1241,3097,1
471,3128,2
3128,3128,1
1279,3203,1
21,3203,1
802,3211,1
1279,3211,1
836,2487,1
2487,2487,1
3244,3259,1
1279,3284,2
3294,92,1
3294,97,2
3321,1279,1
3044,1279,2
3054,819,2
2452,3390,3
2853,1256,1
3506,24,1
1279,3510,1
1193,3539,1
21,3550,1
3070,3550,1
4824,4824,1
5198,4824,1
26561,3281,1
12473,4889,1
3106,3106,1
471,4907,1
21,4929,1
1241,4956,1
847,136,1
136,136,1
989,847,1
847,847,18
3466,3436,1
21,5004,1
136,847,1
847,5043,2
5043,5043,6
4621,4621,13
5316,289,1
5091,3466,1
6390,2452,1
471,3504,1
3466,5091,2
9951,5091,1
1279,5199,1
80072,5199,1
7738,7738,5
1367,6496,2
7740,7740,2
2452,21,2
7867,7867,2
7873,4621,1
3430,964,1
985,182,4
182,182,7
8088,8088,1
8110,985,2
985,985,1
8088,1003,3
1003,1003,4
7720,90,1
90,90,3
9123,90,1
7848,122,1
3466,5255,1
3466,8127,1
8127,3466,1
7887,6467,1
4897,8425,1
3466,2750,1
5316,381,1
381,8285,1
8285,8285,2
1003,97,1
12446,2723,1
587,8800,1
8692,8792,1
1048,1048,1
7923,587,1
587,587,3
8944,3417,1
8951,8953,1
8953,8953,4
587,8953,1
173,3314,1
5091,9246,1
173,9281,1
9287,9287,1
9281,173,1
122,9492,1
122,9483,1
173,9508,1
9488,173,1
9123,9035,1
9035,9035,2
8041,8041,8
9663,1279,2
9714,108,1
8152,8152,7
1283,1283,2
8338,8338,4
8338,9698,1
10086,10086,1
9637,9637,1
8275,8275,6
5043,8275,5
13053,3151,1
471,10272,1
10102,10303,1
10303,10303,2
9943,9943,6
66863,9943,1
924,816,1
10187,10187,1
21,10694,1
7980,9420,1
10815,5010,2
9323,9323,1
7848,5211,1
7980,5211,1
122,7980,1
11029,11029,1
10512,10512,3
9035,201,1
201,201,41
11063,11021,1
2452,9793,1
7980,9793,3
2452,12177,1
11142,11142,2
12241,226,1
9420,226,2
836,12250,2
12250,12250,5
7980,10490,1
8041,12314,1
10189,10189,1
12234,12234,1
10517,10517,2
10522,10936,1
10936,10936,10
21,12516,1
947,12516,1
8986,1406,1
1406,1406,3
12580,12580,3
8479,9698,1
471,12665,1
12665,12665,4
700,5211,1
947,12827,1
12241,12827,1
0,12827,1
21,12827,1
836,12859,1
8088,97,3
6550,12321,1
7980,12321,1
10094,12575,1
11097,12363,1
13447,924,1
13413,13413,22
21,8796,1
13521,13521,1
13508,13508,2
13285,13285,4
12527,2452,1
13348,12363,2
9131,9131,1
54832,13818,1
924,12533,1
0,12533,2
26219,12533,1
0,13770,1
13285,10549,1
13132,12626,1
13884,12473,1
12473,13915,1
13296,13296,1
924,12603,1
8878,13978,1
843,843,15
10620,10620,13
2723,413,1
11097,14030,1
11097,1279,1
10663,10663,1
836,836,349
12867,12867,14
13680,14175,1
15584,8842,1
12363,11097,1
0,11097,1
13296,7923,1
0,14332,1
13285,14368,2
14368,14368,1
12473,10265,1
11097,14397,1
14391,21,1
11097,5091,6
14353,12785,1
14504,201,1
8820,3169,1
12473,14740,3
14681,14681,1
11097,14925,1
14933,14926,3
381,15024,2
8820,15024,1
14994,14946,1
14604,14604,1
13285,15253,1
15253,15253,3
6529,15253,1
15258,15258,2
14904,6550,1
471,14946,1
14994,14994,8
14789,108,1
11097,15300,3
924,14560,1
381,8820,12
8820,8820,92
381,13165,3
13165,13165,3
15656,15656,4
13165,381,3
381,381,96
11097,14644,1
1244,14644,1
15790,8412,1
8412,8412,1
38874,8820,1
15946,13727,1
14913,13046,1
16024,16024,29
381,16024,4
13046,14913,3
15609,15609,1
471,16266,3
16266,16266,2
10345,10345,4
15656,836,1
41000,836,1
16612,16612,2
8560,16646,1
16683,16683,1
16693,16693,1
6478,15613,2
15613,15613,5
3439,3439,1
381,16992,1
16992,16992,1
13686,13686,9
16928,12575,2
12527,17022,2
13232,12501,1
430,12501,1
8501,10275,1
69786,10275,1
14313,14313,6
17309,17309,1
17313,17313,2
836,17313,1
15568,16284,1
17619,17619,2
71373,17619,1
0,8240,1
15527,11141,1
10879,10879,3
17784,17784,2
21024,17784,1
17877,17877,1
14909,14909,19
17888,17888,1
381,17888,1
924,3570,2
18000,836,2
381,18014,1
18014,18014,1
381,5043,2
381,10464,1
9314,9314,3
17484,17484,3
18120,18120,1
11097,13417,2
15202,15202,6
18184,18184,1
381,18184,1
18098,18098,5
18221,18221,1
6478,6478,7
836,6478,1
45938,6478,1
3510,13417,1
13291,14913,2
54617,18098,1
6478,18429,1
8465,17696,1
17696,17696,24
14125,18416,1
8113,13417,1
18609,836,2
18619,16024,1
14913,18682,1
8752,18721,1
18139,18139,2
5200,5200,3
18778,18778,2
13736,676,1
6478,18818,1
18612,18612,1
381,18612,1
14904,19003,3
710,10345,1
0,19113,1
14904,18787,1
924,19278,1
32742,14578,1
77322,14578,2
