_1,_2,_3
14,14,11
84,84,10
1156,84,1
178,199,1
211,199,1
92,71,1
13023,59,1
403,434,1
554,178,1
322,890,1
910,890,7
122,122,8
743,84,1
0,986,2
743,986,1
84,1015,1
922,1021,1
846,515,1
515,515,1
471,1125,1
1177,1165,1
1165,1165,1
1192,1192,2
1085,1085,4
474,474,2
17538,548,1
609,434,1
989,454,1
133,964,1
1279,1097,2
1097,1097,2
684,1386,1
836,989,4
802,2485,1
2485,2485,1
548,548,6
2711,548,5
684,2433,1
322,95,2
381,974,1
172,974,1
325,325,5
2802,2614,1
2452,2452,79
1156,2841,1
924,2841,1
2661,2533,2
2854,2838,1
1281,2668,2
2668,2668,1
3203,3203,1
3284,3284,1
1279,1279,22
819,819,11
3409,3390,1
3535,3390,1
21,21,48
2969,3513,1
2452,3550,1
4697,3550,2
3550,3550,1
3550,3466,1
3466,3466,11
21,4668,2
4668,4668,4
0,4717,1
836,4824,2
21,4889,1
4889,4889,1
471,3106,1
3436,3436,2
5004,5004,1
4999,5012,1
21,5012,1
2576,1279,1
381,4621,1
1131,1131,2
6387,6391,1
6391,6391,5
2742,2742,2
375,5091,1
5091,5091,24
7764,5091,1
21,6523,1
86594,2452,1
303,303,29
924,5091,2
21,6664,1
6496,6496,1
102,1367,1
643,21,1
4621,7867,3
7999,7969,1
7969,7969,9
108,8214,1
21,8268,1
7720,3152,1
8235,8236,1
8236,8236,1
2452,8368,1
1367,8368,1
2576,8425,1
8344,8344,2
1077,8389,1
8597,8462,2
3466,2723,1
2723,2723,17
7867,1048,1
7712,7712,2
8860,8860,2
3417,3417,1
21,9079,1
9097,9114,1
9114,9114,1
2452,3314,2
1131,9219,1
173,9219,1
7980,9246,1
9246,9246,2
173,173,2
8344,9420,1
9492,9492,1
9483,9483,3
9508,9488,1
9488,9508,1
8878,8878,128
924,8878,2
378,378,2
9576,8498,1
2576,2576,25
9448,9448,1
1367,9771,1
11097,9771,1
1330,378,1
8878,9769,1
21,4836,2
6550,9483,1
10404,9483,1
9966,4897,2
4897,4897,2
10001,10001,1
9420,10001,1
8338,10086,1
9766,9766,1
10201,10201,2
10255,816,1
816,816,5
9966,10322,3
10322,10322,5
10344,10344,1
10381,10381,6
0,10381,4
10404,10291,1
10560,10568,3
10568,10568,2
843,8777,1
10694,10694,1
9420,9420,32
10815,3377,1
10314,5010,1
5010,5010,1
1359,10894,1
947,9061,1
10937,5211,1
7980,7980,5
10949,10949,2
10907,9420,4
9420,9793,4
9793,9793,19
14409,11029,1
9893,9420,1
12177,12177,1
21,12177,1
7980,226,1
226,226,2
12258,9420,1
12241,10490,1
7980,12202,1
12202,12202,3
1256,3465,2
4647,12234,1
7980,12457,1
12536,12536,2
1279,12557,1
12557,12557,1
10936,12580,1
12729,12665,4
5211,5211,10
6550,3314,1
21,12807,1
4933,12807,2
2452,12827,1
41651,12827,1
12858,12858,2
12876,12876,5
10810,10810,3
10810,11097,1
11097,11097,56
12996,12952,1
12952,12952,1
0,12321,1
12321,12321,1
5177,989,1
2452,13182,1
13132,12363,1
13213,13213,1
8005,13155,1
471,13155,1
471,1077,2
10319,13309,3
11097,13315,1
12363,12363,9
924,924,206
13416,12290,1
13480,13413,2
6550,13512,1
13481,13481,11
13296,13521,1
13521,13563,1
10663,13508,1
23129,13574,1
12377,7969,3
8630,10620,1
12473,3024,1
13818,13818,1
14688,12533,1
381,13155,1
12626,12626,2
3024,12626,1
12473,10427,1
13562,12473,5
12473,12473,40
12603,12603,3
13978,13978,1
8820,843,4
12473,10683,1
14030,14030,1
13917,12469,1
12469,12469,1
8842,8842,1
13132,14218,2
14218,14218,1
12473,11097,1
14177,14177,1
11097,14267,2
14267,14267,2
12473,13593,1
7848,13593,1
14332,14332,3
11097,14332,1
14332,11097,1
14397,14397,1
9420,14392,1
924,14392,1
13833,5091,1
141,10094,1
16853,12785,1
8820,836,5
5279,14586,1
3151,924,1
14740,14740,3
21,14636,1
14636,14636,3
3024,3024,6
3151,3151,8
10462,9420,1
14582,9420,1
11116,2961,1
14925,14925,1
18544,15024,1
13562,13562,3
5303,5303,4
15157,15157,2
15182,15182,1
12909,9420,1
381,10793,1
6529,15258,1
15281,15281,1
2573,2573,9
15300,15300,1
14560,14560,18
8820,15412,2
39841,8820,1
8999,8999,1
15148,15543,2
15543,15543,4
15595,15595,1
12575,12575,6
13285,15617,1
471,15617,1
381,15617,1
1426,15656,3
13034,15527,1
3167,3167,5
676,3167,1
15878,14463,1
13727,13727,53
15908,13123,1
13046,11097,1
13046,13046,1
10240,10240,1
14913,14913,14
0,16251,2
16251,16251,4
16251,13727,4
13213,16126,1
848,381,1
2723,4719,1
4719,4719,1
9420,16380,1
2576,16380,1
2723,108,1
15361,15361,12
15197,5041,1
5041,5041,13
1426,836,7
47832,836,1
16646,16646,1
11097,16646,1
381,16096,1
836,381,7
8560,16808,3
381,16817,1
21,11044,2
108,16913,1
836,16870,1
836,17006,1
17034,11121,1
17022,17022,1
14393,14393,1
5091,11007,2
11007,11007,3
13417,10135,1
10135,10135,3
16024,14313,1
7848,5143,1
13686,17246,1
7848,3044,1
9123,16538,1
6478,17302,1
6478,17309,2
10135,13417,2
16024,843,1
16024,17313,1
17415,17415,1
10135,17415,1
17423,17423,1
13291,13291,2
8240,8240,2
35644,843,1
53790,843,1
17702,17702,1
12515,12515,37
11097,17841,1
17841,17841,1
836,17877,2
676,17886,1
16928,14070,1
3570,3570,1
676,17939,1
9314,17947,1
471,11141,1
471,6478,2
10464,9314,1
18019,18111,1
13417,13417,4
18195,18195,2
18239,6478,1
17116,17116,11
17971,17971,1
381,6478,1
14913,18295,1
18295,18295,2
8501,13417,1
17290,17290,12
14411,8820,1
434,18417,1
8816,12515,1
6514,6514,3
18452,18452,1
14904,14904,83
836,18416,2
40226,18416,1
17646,17646,3
18680,18680,1
24550,18682,1
18696,5200,4
836,18778,1
11141,18778,1
18221,8820,2
676,676,11
19003,19003,2
18969,2723,1
16284,14826,1
